name,state,city,country,pincode,phone,district,address,type,
B.S.A. College,Uttar Pradesh,,India,281004,,Mathura,"Mathura, District Mathura",,
Baikunthi Devi Kanya Mahavidyalaya,Uttar Pradesh,,India,282001,,Agra,"Baluganj, District Agra   282 001",,
Balwant Vidyapeeth rural Institute,Uttar Pradesh,,India,283105,,Agra,"Bichpuri, District Agra",,
Bhadarwar Vidya Mandir Degree College,Uttar Pradesh,,India,283104,,Agra,"Bah, District Agra",,
Bhartiya Kapil Muni Degree College,Uttar Pradesh,,India,205301,,Mainpuri,"Kapia, Bewar, Mainpuri",,
C.L. Jain College,Uttar Pradesh,,India,283203,,Firozabad,"Ferozabad, District Ferozabad   283
203",,
D.D. Mahila Mahavidyalaya,Uttar Pradesh,,India,283203,,Firozabad,"Ferozabad, District Ferozabad",,
Dharma Samaj P.G. College,Uttar Pradesh,,India,202001,,Aligarh,"Aligarh, District Aligarh   202 001",,
Rajdeo Krishak Mahavidyalaya,Uttar Pradesh,,India,276001,,Azamgarh,"Surai, Sathiyano, District Azamgarh",Government,
Gyan Bharti Institute of Management Studies,Uttar Pradesh,,India,250001,,Meerut,"Jewari, Khirwa Road, Kanker Khera, Meerut ?
250 001",Private,
Vasantha College for Women,Uttar Pradesh,,India,221001,,Varanasi,"Rajghat Fort, District Varanasi  
221 001",Private,
Sarvodaya Kisan Degree College,Uttar Pradesh,,India,273413,,Gorakhpur,"Kauriram, Gorakhpur ? 273
413",Government,
D.A.V. Degree College,Uttar Pradesh,,India,221001,,Varanasi,"Ausanganj, District Varanasi",,
Arya Mahila P.G. College,Uttar Pradesh,,India,221010,,Varanasi,"Chetganj, District Varanasi",,
Ma Gomti Memorial Degree College,Uttar Pradesh,,India,230204,,Pratapgarh,"Bhav Siya, Bihar, Kunda?Pratapgarh
? ",Private,
Faiz-A-Am Modern Degree College,Uttar Pradesh,,India,281001,,Mathura,Mathura,,
Swami Vivekanand Mahavidyalaya,Uttar Pradesh,,India,274404,,Deoria,"Kotawa Mishra, Dist. Deoria ? ",Private,
Ganjdundwara College,Uttar Pradesh,,India,207123,,Etah,"Gunjdundwara, District Etah",,
Madan Mohan Smarak Mahavidyalya,Uttar Pradesh,,India,282007,,Agra,"Runakata, N.H ? 2, Agra ? ",Private,
Sri Ramashray Jagdamba Gramin Mahavidyalaya,Uttar Pradesh,,India,276126,,Azamgarh,"Jamuwa, Azamgarh
? 276 126",Private,
Deva Nagri College,Uttar Pradesh,,India,250001,,Meerut,"Meerut, District Meerut",,
D.N. Post Graduate College,Uttar Pradesh,,India,245408,,Bulandshahr,"Gulaoti, District
Bulandshahr   245
408",,
Rajdeep Mahila Degree College,Uttar Pradesh,,India,231305,,Mirzapur,"Kalihat, Mirzapur",Government,
Nepal Singh Mahavidyalaya,Uttar Pradesh,,India,261302,,Sitapur,"Town Area, Hargaon   Sitapur",Private,
Maa Baboona Balika Degree College,Uttar Pradesh,,India,276301,,Azamgarh,Bargahan Azamgarh,Private,
Vishwanath Singh Mahavidyalaya,Uttar Pradesh,,India,232110,,Varanasi,"Parashurampur, Chandauli",Private,
Maharana Pratap Government Post Graduate College,Uttar Pradesh,,India,243633,,Budaun,Bilsi (Budaun) ? 243 633,Private,
Shri Shahdev Podhariya Ambedkar Mahavidyalaya,Uttar Pradesh,,India,221723,,Ballia,"Manda, Rasara, Ballia ? 221 723",Private,
Ramanuj Pratap Degree College,Uttar Pradesh,,India,231211,,Mirzapur,"Drumondganj, Mirzapur ? 231 211",Government,
Ram Sajivan Singh Mahavidyalaya,Uttar Pradesh,,India,212202,,Kaushambi,"Jayantipur,
Kaushambi ? 212
202",Government,
S.D. Bhadawar Degree College,Uttar Pradesh,,India,282006,,Agra,"Chhalesar,
Kuberpur, Agra ? 282 006",Private,
Unity Degree College,Uttar Pradesh,,India,227107,,Lucknow,"P.O. Barawan
Kalan, Kakori, Hardoi Road, Lucknow ? 227 10",Private,
Pt. Deen Dayal Upadhyay Government Degree College,Uttar Pradesh,,India,221208,,Varanasi,"Palahi Patti, Dist. Varanasi ? ",Government,
